"outcome2","exposure2","HR"
"Organic disorders","Exposed to Substance use",164.688448810951
"Organic disorders","Exposed to Substance use",87.1576719808302
"Organic disorders","Exposed to Substance use",11.2231207148543
"Organic disorders","Exposed to Substance use",21.1522292113094
"Organic disorders","Exposed to Substance use",8.17958568846477
"Organic disorders","Exposed to Substance use",15.1658198247628
"Organic disorders","Exposed to Substance use",11.3196788247429
"Organic disorders","Exposed to Substance use",6.27199257992666
"Organic disorders","Exposed to Substance use",5.60862504793156
"Organic disorders","Exposed to Substance use",9.67214205068471
"Organic disorders","Exposed to Substance use",8.58954185601084
"Organic disorders","Exposed to Substance use",5.36780568369188
"Organic disorders","Exposed to Substance use",4.2048419226196
"Organic disorders","Exposed to Substance use",3.3015976906761
"Organic disorders","Exposed to Substance use",5.88736600589563
"Organic disorders","Exposed to Substance use",8.52388310065077
"Organic disorders","Exposed to Substance use",5.89649555081006
"Organic disorders","Exposed to Substance use",69.8346426721378
"Organic disorders","Exposed to Substance use",137.945420044528
"Organic disorders","Exposed to Substance use",15.4721974439242
"Organic disorders","Exposed to Substance use",7.85045741874097
"Organic disorders","Exposed to Substance use",11.9927595877384
"Organic disorders","Exposed to Substance use",6.18072698707425
"Organic disorders","Exposed to Substance use",9.38484824541588
"Organic disorders","Exposed to Substance use",4.92553993457127
"Organic disorders","Exposed to Substance use",7.83501115855239
"Organic disorders","Exposed to Substance use",4.20482678521593
"Organic disorders","Exposed to Substance use",7.1164748679215
"Organic disorders","Exposed to Substance use",4.04763516216608
"Organic disorders","Exposed to Substance use",3.71214879878457
"Organic disorders","Exposed to Substance use",2.72242193118585
"Organic disorders","Exposed to Substance use",4.63042242297453
"Organic disorders","Exposed to Substance use",7.22748919555788
"Organic disorders","Exposed to Substance use",4.646063491052
"Organic disorders","Exposed to Substance use",55.5743686799077
"Organic disorders","Exposed to Substance use",114.662049281429
"Organic disorders","Exposed to Substance use",5.08709886252938
"Organic disorders","Exposed to Substance use",10.4704028422304
"Organic disorders","Exposed to Substance use",4.54365566228011
"Organic disorders","Exposed to Substance use",9.21555944929434
"Organic disorders","Exposed to Substance use",7.67586200099598
"Organic disorders","Exposed to Substance use",3.8223361756671
"Organic disorders","Exposed to Substance use",3.05627727947255
"Organic disorders","Exposed to Substance use",6.13507620844409
"Organic disorders","Exposed to Substance use",5.66921069036035
"Organic disorders","Exposed to Substance use",2.93614031258403
"Organic disorders","Exposed to Substance use",3.26407168768676
"Organic disorders","Exposed to Substance use",2.24477012108912
"Organic disorders","Exposed to Substance use",6.02793802787167
"Organic disorders","Exposed to Substance use",3.58935851534349
"Organic disorders","Exposed to Substance use",3.61812342303647
"Organic disorders","Exposed to Schizophrenia and related",181.419440286275
"Organic disorders","Exposed to Schizophrenia and related",90.9786169196466
"Organic disorders","Exposed to Schizophrenia and related",10.0805739448956
"Organic disorders","Exposed to Schizophrenia and related",20.5303914896694
"Organic disorders","Exposed to Schizophrenia and related",14.5934223029323
"Organic disorders","Exposed to Schizophrenia and related",6.92170620046979
"Organic disorders","Exposed to Schizophrenia and related",12.3414004414514
"Organic disorders","Exposed to Schizophrenia and related",5.63823909747265
"Organic disorders","Exposed to Schizophrenia and related",4.1203775602498
"Organic disorders","Exposed to Schizophrenia and related",9.28298635012164
"Organic disorders","Exposed to Schizophrenia and related",9.3386686569666
"Organic disorders","Exposed to Schizophrenia and related",4.4561292141765
"Organic disorders","Exposed to Schizophrenia and related",3.04468789995772
"Organic disorders","Exposed to Schizophrenia and related",4.56237581541956
"Organic disorders","Exposed to Schizophrenia and related",9.11095194204603
"Organic disorders","Exposed to Schizophrenia and related",5.27116763167656
"Organic disorders","Exposed to Schizophrenia and related",5.30333782164389
"Organic disorders","Exposed to Schizophrenia and related",71.7510292869821
"Organic disorders","Exposed to Schizophrenia and related",121.878092091091
"Organic disorders","Exposed to Schizophrenia and related",8.66741420450812
"Organic disorders","Exposed to Schizophrenia and related",15.0311693228977
"Organic disorders","Exposed to Schizophrenia and related",5.75281442340288
"Organic disorders","Exposed to Schizophrenia and related",10.189600078527
"Organic disorders","Exposed to Schizophrenia and related",4.48941588112208
"Organic disorders","Exposed to Schizophrenia and related",8.20894324837362
"Organic disorders","Exposed to Schizophrenia and related",3.22918989733856
"Organic disorders","Exposed to Schizophrenia and related",6.23239195172651
"Organic disorders","Exposed to Schizophrenia and related",3.43762834835869
"Organic disorders","Exposed to Schizophrenia and related",6.700916445812
"Organic disorders","Exposed to Schizophrenia and related",2.65468220305896
"Organic disorders","Exposed to Schizophrenia and related",3.95408135538168
"Organic disorders","Exposed to Schizophrenia and related",4.31948810058522
"Organic disorders","Exposed to Schizophrenia and related",7.03654160374951
"Organic disorders","Exposed to Schizophrenia and related",4.34116219877607
"Organic disorders","Exposed to Schizophrenia and related",62.7623957289279
"Organic disorders","Exposed to Schizophrenia and related",98.9951540552813
"Organic disorders","Exposed to Schizophrenia and related",8.01525659582425
"Organic disorders","Exposed to Schizophrenia and related",12.9058345524173
"Organic disorders","Exposed to Schizophrenia and related",5.19960260213149
"Organic disorders","Exposed to Schizophrenia and related",8.49466398586809
"Organic disorders","Exposed to Schizophrenia and related",6.60737203050738
"Organic disorders","Exposed to Schizophrenia and related",3.93296266243967
"Organic disorders","Exposed to Schizophrenia and related",4.96639587010882
"Organic disorders","Exposed to Schizophrenia and related",2.78063633780419
"Organic disorders","Exposed to Schizophrenia and related",5.44256577776366
"Organic disorders","Exposed to Schizophrenia and related",2.90888021126293
"Organic disorders","Exposed to Schizophrenia and related",3.66911540884099
"Organic disorders","Exposed to Schizophrenia and related",2.47668843650989
"Organic disorders","Exposed to Schizophrenia and related",6.11416432532096
"Organic disorders","Exposed to Schizophrenia and related",3.88364948315085
"Organic disorders","Exposed to Schizophrenia and related",3.86647755477377
"Organic disorders","Exposed to Mood disorders",60.243097410092
"Organic disorders","Exposed to Mood disorders",82.7945965331283
"Organic disorders","Exposed to Mood disorders",8.91907373649558
"Organic disorders","Exposed to Mood disorders",12.3649047778308
"Organic disorders","Exposed to Mood disorders",9.21556221396258
