id,value
o,12
o.Organic,14
o.Organic.Brain damage,16
o.Organic.Brain disease and damage,18
o.Organic.Delirium,20
o.Organic.Dementia in Alzheimer's disease,22
o.Organic.Organic amnesic syndrome,24
o.Organic.Other dementia,26
o.Organic.Unspecified dementia,28
o.Organic.Unspecified organic,30
o.Organic.Vascular dementia,32
o.Substance use,34
o.Substance use.Alcohol,36
o.Substance use.Cannabinoids,38
o.Substance use.Cocaine,40
o.Substance use.Hallucinogens,42
o.Substance use.Multiple drug use,44
o.Substance use.Opioids,46
o.Substance use.Sedative or hypnotics,48
o.Substance use.Stimulants and caffeine,50
o.Substance use.Tobacco,52
o.Substance use.Volatile solvents,54
o.Schizophrenia,56
o.Schizophrenia.Acute and transient psychotic disorders,58
o.Schizophrenia.Induced delusional disorder,60
o.Schizophrenia.Other nonorganic psychotic disorders,62
o.Schizophrenia.Persistent delusional disorders,64
o.Schizophrenia.Schizoaffective disorders,66
o.Schizophrenia.Schizophrenia,68
o.Schizophrenia.Schizotypal disorder,70
o.Schizophrenia.Unspecified nonorganic psychosis,72
o.Mood,74
o.Mood.Bipolar affective disorder,76
o.Mood.Depressive episode,78
o.Mood.Manic episode,80
o.Mood.Other mood [affective] disorders,82
o.Mood.Persistent mood [affective] disorders,84
o.Mood.Recurrent depressive disorder,86
o.Mood.Unspecified mood [affective] disorder,88
o.Neurotic,90
o.Neurotic.Dissociative [conversion] disorders,92
o.Neurotic.Obsessive-compulsive disorder,94
o.Neurotic.Other anxiety disorders,96
o.Neurotic.Other neurotic disorders,98
o.Neurotic.Phobic anxiety disorders,100
o.Neurotic.Reaction to severe stress,102
o.Neurotic.Somatoform disorders,104
o.Behavioural,106
o.Behavioural.Eating disorders,108
o.Behavioural.Non-dependence-producing substances,110
o.Behavioural.Nonorganic sleep disorders,112
o.Behavioural.Other,114
o.Behavioural.Puerperium,116
o.Behavioural.Sexual dysfunction,118
o.Behavioural.Unspecified,120
o.Personality,122
o.Personality.Disorders of sexual preference,124
o.Personality.Gender identity disorders,126
o.Personality.Habit and impulse disorders,128
o.Personality.Mixed and other personality disorders,130
o.Personality.Other,132
o.Personality.Personality changes,134
o.Personality.Sexual development and orientation,136
o.Personality.Specific personality disorders,138
o.Personality.Unspecified,140
o.Retardation,142
o.Retardation.Mild mental retardation,144
o.Retardation.Moderate mental retardation,146
o.Retardation.Other mental retardation,148
o.Retardation.Profound mental retardation,150
o.Retardation.Severe mental retardation,152
o.Retardation.Unspecified mental retardation,154
o.Psycho,156
o.Psycho.Mixed specific developmental disorders,158
o.Psycho.Motor function,160
o.Psycho.Other,162
o.Psycho.Pervasive developmental disorders,164
o.Psycho.Scholastic skills,166
o.Psycho.Speech and language,168
o.Psycho.Unspecified,170
o.Emotional,172
o.Emotional.Conduct disorders,174
o.Emotional.Emotional disorders,176
o.Emotional.Hyperkinetic disorders,178
o.Emotional.Mixed disorders of conduct and emotions,180
o.Emotional.Other,182
o.Emotional.Social functioning,184
o.Emotional.Tic disorders,186
