Prior_disorder,Later_disorder,n,HR,Lower_CL,Upper_CL,coefvar
ADHD,Child separation anxiety disorder,47661,3.8,2.8,5.2,1.12759643916914
ADHD,Oppositional defiant disorder,30088,9.9,7.7,12.7,0.29673590504451
ADHD,Social phobia,141131,4.8,4.1,5.7,-1.12759643916914
Adult separation anxiety disorder,Agoraphobia,145990,4.3,3.3,5.8,0.356083086053413
Adult separation anxiety disorder,Alcohol abuse,116210,2.8,2.3,3.4,0.0593471810089021
Adult separation anxiety disorder,Alcohol dependence,116210,4.1,3.2,5.2,0.474777448071217
Adult separation anxiety disorder,Binge eating disorder,31561,4,3,5.3,-0.356083086053413
Adult separation anxiety disorder,Bipolar disorder,115525,6.6,5.4,8,-0.949554896142433
Adult separation anxiety disorder,Bulimia nervosa,31561,6,3.9,9.2,0.534124629080119
Adult separation anxiety disorder,Conduct disorder,33168,3.2,2.1,4.9,1.18694362017804
Adult separation anxiety disorder,Drug abuse,90822,2.7,2.1,3.5,0.474777448071217
Adult separation anxiety disorder,Drug dependence,90822,4.7,3.5,6.2,-0.237388724035609
Adult separation anxiety disorder,Dysthymia,124565,5.7,4.6,6.9,-0.890207715133531
Adult separation anxiety disorder,Generalized anxiety disorder,145990,5.3,4.5,6.1,-0.771513353115727
Adult separation anxiety disorder,Intermittent explosive disorder,86789,3.1,2.5,3.9,0.237388724035608
Adult separation anxiety disorder,Major depressive episode,145990,4.4,3.9,4.9,-0.356083086053413
Adult separation anxiety disorder,Nicotine dependence,43994,2.5,2.1,3,-0.29673590504451
Adult separation anxiety disorder,Obsessive compulsive disorder,25120,4.4,2.8,6.9,0.593471810089021
Adult separation anxiety disorder,Oppositional defiant disorder,30088,3.2,2.1,4.9,1.00890207715134
Adult separation anxiety disorder,Panic disorder,145990,3.6,2.8,4.6,0.534124629080119
Adult separation anxiety disorder,PTSD,81939,4.1,3.3,5.1,0.0593471810089024
Adult separation anxiety disorder,Social phobia,141131,3.7,2.8,4.7,-0.237388724035609
Agoraphobia,Adult separation anxiety disorder,49037,4.9,3.9,6.1,-0.356083086053413
Agoraphobia,Alcohol abuse,116210,2.5,2,3,-0.356083086053413
Agoraphobia,Alcohol dependence,116210,5.4,4.5,6.4,-1.42433234421365
Agoraphobia,Binge eating disorder,31561,3.7,2.9,4.8,0.178041543026706
Agoraphobia,Bipolar disorder,115525,8.6,7.2,10.2,-2.25519287833828
Agoraphobia,Drug abuse,90822,3.2,2.5,3.9,0.178041543026706
Agoraphobia,Drug dependence,90822,5.8,4.4,7.7,-0.593471810089021
Agoraphobia,Dysthymia,124565,6.6,5.5,7.9,-1.06824925816024
Agoraphobia,Generalized anxiety disorder,145990,6.4,5.6,7.3,-1.78041543026706
Agoraphobia,Intermittent explosive disorder,86789,4.9,3.9,6.3,-1.18694362017804
Agoraphobia,Major depressive episode,145990,4.2,3.8,4.6,-0.474777448071217
Agoraphobia,Nicotine dependence,43994,2.1,1.7,2.7,-0.356083086053413
Agoraphobia,Obsessive compulsive disorder,25120,6.4,4.4,9.3,-1.24629080118694
Agoraphobia,Oppositional defiant disorder,30088,4,2.7,5.8,-0.29673590504451
Agoraphobia,Panic disorder,145990,12.2,10.4,14.2,-1.24629080118694
Agoraphobia,PTSD,81939,4.3,3.5,5.1,-0.474777448071217
Agoraphobia,Social phobia,141131,15.7,13.5,18.2,-3.38278931750742
Alcohol abuse,Adult separation anxiety disorder,49037,2.9,2.5,3.4,-0.0593471810089021
Alcohol abuse,Agoraphobia,145990,1.9,1.5,2.3,0.356083086053413
Alcohol abuse,Alcohol dependence,116210,17.5,16,19.1,8.72403560830861
Alcohol abuse,Binge eating disorder,31561,2.8,2.3,3.4,0.178041543026706
Alcohol abuse,Bipolar disorder,115525,3.1,2.7,3.5,0.712166172106825
Alcohol abuse,Bulimia nervosa,31561,3,2,4.6,0.771513353115727
Alcohol abuse,Drug abuse,90822,9.4,8.5,10.3,-0.771513353115727
