x,y,CI_left,CI_right
1,0.03,0.01,0.09
2,0.04,0.01,0.12
3,0.06,0.02,0.16
4,0.09,0.04,0.21
5,0.13,0.06,0.27
6,0.18,0.09,0.34
7,0.25,0.14,0.43
8,0.33,0.21,0.54
9,0.45,0.29,0.68
10,0.59,0.41,0.84
11,0.76,0.56,1.03
12,0.97,0.76,1.25
13,1.22,0.99,1.51
14,1.52,1.27,1.81
15,1.85,1.6,2.15
16,2.24,1.98,2.53
17,2.66,2.4,2.95
18,3.13,2.86,3.42
19,3.63,3.35,3.93
20,4.16,3.86,4.48
21,4.71,4.39,5.05
22,5.27,4.93,5.64
23,5.83,5.47,6.22
24,6.38,6,6.78
25,6.91,6.52,7.32
26,7.4,7.01,7.81
27,7.85,7.47,8.25
28,8.25,7.88,8.63
29,8.59,8.24,8.95
30,8.86,8.52,9.2
31,9.06,8.74,9.38
32,9.18,8.88,9.49
33,9.24,8.95,9.54
34,9.22,8.94,9.52
35,9.15,8.87,9.43
36,9.01,8.74,9.29
37,8.83,8.57,9.09
38,8.6,8.35,8.85
39,8.34,8.1,8.57
40,8.05,7.83,8.27
41,7.74,7.54,7.94
42,7.41,7.23,7.6
43,7.08,6.92,7.25
44,6.76,6.61,6.91
45,6.43,6.3,6.57
46,6.11,5.99,6.23
47,5.81,5.7,5.91
48,5.51,5.42,5.61
49,5.24,5.15,5.33
50,4.98,4.9,5.06
51,4.74,4.67,4.82
52,4.52,4.46,4.59
53,4.32,4.26,4.39
54,4.15,4.08,4.21
55,3.99,3.93,4.05
56,3.84,3.79,3.9
57,3.71,3.66,3.77
58,3.59,3.54,3.65
59,3.49,3.44,3.54
60,3.39,3.35,3.44
61,3.31,3.26,3.35
62,3.23,3.18,3.27
63,3.15,3.11,3.19
64,3.09,3.05,3.12
65,3.02,2.99,3.06
66,2.97,2.93,3
67,2.91,2.88,2.95
68,2.86,2.83,2.89
69,2.81,2.78,2.85
70,2.77,2.74,2.8
71,2.73,2.69,2.76
72,2.68,2.65,2.71
73,2.64,2.61,2.67
74,2.6,2.57,2.63
75,2.56,2.53,2.59
76,2.52,2.49,2.55
77,2.47,2.44,2.5
78,2.43,2.4,2.46
79,2.39,2.36,2.41
80,2.34,2.31,2.37
81,2.29,2.26,2.32
82,2.24,2.21,2.27
83,2.19,2.16,2.21
84,2.13,2.11,2.16
85,2.08,2.05,2.1
86,2.02,1.99,2.04
87,1.96,1.93,1.98
88,1.89,1.87,1.92
89,1.83,1.8,1.86
90,1.76,1.73,1.79
91,1.69,1.65,1.73
92,1.62,1.58,1.66
93,1.54,1.5,1.59
94,1.47,1.42,1.52
95,1.39,1.34,1.45
96,1.32,1.26,1.38
97,1.24,1.18,1.31
98,1.17,1.1,1.24
99,1.09,1.02,1.16
100,1.02,0.94,1.09
