group,variable,value
NG,NG,30
NG,MA,30
NG,ZA,30
NG,SN,30
NG,KE,30
NG,FR,30
NG,IT,30
NG,ES,30
NG,DE,30
NG,CH,30
NG,BE,30
NG,AL,30
NG,GB,30
NG,AT,30
NG,FI,30
NG,CA,30
NG,MX,30
NG,US,30
NG,GT,30
NG,CU,30
NG,EC,30
NG,BR,30
NG,VE,30
NG,CL,30
NG,AR,30
NG,BO,30
NG,NI,30
NG,IN,30
NG,JP,30
NG,MY,30
NG,LK,30
NG,IR,30
NG,AE,30
NG,ID,30
NG,TR,30
NG,PK,30
NG,CN,30
NG,TH,30
NG,AU,30
MA,NG,30
MA,MA,30
MA,ZA,30
MA,SN,30
MA,KE,30
MA,FR,30
MA,IT,30
MA,ES,30
MA,DE,30
MA,CH,30
MA,BE,30
MA,AL,30
MA,GB,30
MA,AT,30
MA,FI,30
MA,CA,30
MA,MX,30
MA,US,30
MA,GT,30
MA,CU,30
MA,EC,30
MA,BR,30
MA,VE,30
MA,CL,30
MA,AR,30
MA,BO,30
MA,NI,30
MA,IN,30
MA,JP,30
MA,MY,30
MA,LK,30
MA,IR,30
MA,AE,30
MA,ID,30
MA,TR,30
MA,PK,30
MA,CN,30
MA,TH,30
MA,AU,30
ZA,NG,30
ZA,MA,30
ZA,ZA,30
ZA,SN,30
ZA,KE,30
ZA,FR,30
ZA,IT,30
ZA,ES,30
ZA,DE,30
ZA,CH,30
ZA,BE,30
ZA,AL,30
ZA,GB,30
ZA,AT,30
ZA,FI,30
ZA,CA,30
ZA,MX,30
ZA,US,30
ZA,GT,30
ZA,CU,30
ZA,EC,30
ZA,BR,30
ZA,VE,30
ZA,CL,30
ZA,AR,30
ZA,BO,30
ZA,NI,30
ZA,IN,30
ZA,JP,30
ZA,MY,30
ZA,LK,30
ZA,IR,30
ZA,AE,30
ZA,ID,30
ZA,TR,30
ZA,PK,30
ZA,CN,30
ZA,TH,30
ZA,AU,30
SN,NG,30
SN,MA,30
SN,ZA,30
SN,SN,30
SN,KE,30
SN,FR,30
SN,IT,30
SN,ES,30
SN,DE,30
SN,CH,30
SN,BE,30
SN,AL,30
SN,GB,30
SN,AT,30
SN,FI,30
SN,CA,30
SN,MX,30
SN,US,30
SN,GT,30
SN,CU,30
SN,EC,30
SN,BR,30
SN,VE,30
SN,CL,30
SN,AR,30
SN,BO,30
SN,NI,30
SN,IN,30
SN,JP,30
SN,MY,30
SN,LK,30
SN,IR,30
SN,AE,30
SN,ID,30
SN,TR,30
SN,PK,30
SN,CN,30
SN,TH,30
SN,AU,30
KE,NG,30
KE,MA,30
KE,ZA,30
KE,SN,30
KE,KE,30
KE,FR,30
KE,IT,30
KE,ES,30
KE,DE,30
KE,CH,30
KE,BE,30
KE,AL,30
