group,variable,value
A,v1,32
A,v2,250
A,v3,390
A,v4,294
A,v5,296
A,v6,216
A,v7,177
A,v8,95
A,v9,61
A,v10,92
A,v11,105
A,v12,35
A,v13,146
A,v14,100
A,v15,364
A,v16,127
A,v17,262
A,v18,210
A,v19,106
A,v20,276
B,v1,306
B,v2,201
B,v3,370
B,v4,64
B,v5,142
B,v6,365
B,v7,56
B,v8,6
B,v9,102
B,v10,240
B,v11,286
B,v12,266
B,v13,155
B,v14,399
B,v15,280
B,v16,303
B,v17,272
B,v18,316
B,v19,326
B,v20,200
C,v1,187
C,v2,385
C,v3,252
C,v4,225
C,v5,144
C,v6,104
C,v7,170
C,v8,222
C,v9,284
C,v10,233
C,v11,325
C,v12,189
C,v13,237
C,v14,380
C,v15,157
C,v16,173
C,v17,161
C,v18,132
C,v19,54
C,v20,83
D,v1,117
D,v2,169
D,v3,77
D,v4,3
D,v5,349
D,v6,322
D,v7,28
D,v8,180
D,v9,388
D,v10,283
D,v11,277
D,v12,336
D,v13,368
D,v14,67
D,v15,90
D,v16,339
D,v17,289
D,v18,98
D,v19,129
D,v20,109
E,v1,96
E,v2,192
E,v3,10
E,v4,282
E,v5,163
E,v6,72
E,v7,49
E,v8,183
E,v9,103
E,v10,377
E,v11,86
E,v12,342
E,v13,8
E,v14,2
E,v15,205
E,v16,379
E,v17,268
E,v18,382
E,v19,186
E,v20,220
F,v1,229
F,v2,315
F,v3,295
F,v4,19
F,v5,300
F,v6,176
F,v7,354
F,v8,203
F,v9,311
F,v10,158
F,v11,221
F,v12,69
F,v13,70
F,v14,242
F,v15,207
F,v16,94
F,v17,304
F,v18,273
F,v19,248
F,v20,350
G,v1,389
G,v2,243
G,v3,58
G,v4,101
G,v5,235
G,v6,38
G,v7,279
G,v8,267
G,v9,136
G,v10,264
G,v11,313
G,v12,293
G,v13,188
G,v14,346
G,v15,334
G,v16,37
G,v17,140
G,v18,30
G,v19,46
G,v20,308
H,v1,375
H,v2,309
H,v3,381
H,v4,60
H,v5,231
H,v6,112
H,v7,137
H,v8,292
H,v9,13
H,v10,179
H,v11,53
H,v12,351
H,v13,259
H,v14,73
H,v15,230
H,v16,361
H,v17,366
H,v18,31
H,v19,41
H,v20,135
I,v1,51
I,v2,121
I,v3,25
I,v4,265
I,v5,91
I,v6,165
I,v7,45
I,v8,196
I,v9,39
I,v10,387
I,v11,209
I,v12,115
I,v13,335
I,v14,234
I,v15,232
I,v16,152
I,v17,337
I,v18,384
I,v19,63
I,v20,356
J,v1,215
J,v2,159
J,v3,352
J,v4,299
J,v5,270
J,v6,119
J,v7,340
J,v8,162
J,v9,185
J,v10,97
J,v11,197
J,v12,194
J,v13,378
J,v14,393
J,v15,139
J,v16,239
J,v17,301
J,v18,55
J,v19,84
J,v20,79
K,v1,166
K,v2,33
K,v3,114
K,v4,172
K,v5,369
K,v6,164
K,v7,113
K,v8,118
K,v9,269
K,v10,181
K,v11,204
K,v12,318
K,v13,110
K,v14,251
K,v15,120
K,v16,131
K,v17,52
K,v18,143
K,v19,310
K,v20,238
L,v1,319
L,v2,134
L,v3,226
L,v4,345
L,v5,21
L,v6,68
L,v7,154
L,v8,263
L,v9,50
L,v10,213
L,v11,307
L,v12,241
L,v13,12
L,v14,107
L,v15,116
L,v16,81
L,v17,383
L,v18,392
L,v19,247
L,v20,17
M,v1,297
M,v2,1
M,v3,150
M,v4,287
M,v5,20
M,v6,244
M,v7,149
M,v8,4
M,v9,371
M,v10,391
M,v11,360
M,v12,184
M,v13,236
M,v14,302
M,v15,373
M,v16,258
M,v17,397
M,v18,89
M,v19,254
M,v20,130
N,v1,327
N,v2,160
N,v3,15
N,v4,42
N,v5,359
N,v6,223
N,v7,249
N,v8,151
N,v9,217
N,v10,34
N,v11,395
N,v12,341
N,v13,65
N,v14,253
N,v15,14
N,v16,178
N,v17,212
N,v18,29
N,v19,125
N,v20,324
O,v1,281
O,v2,36
O,v3,245
O,v4,175
O,v5,87
O,v6,40
O,v7,246
O,v8,348
O,v9,328
O,v10,290
O,v11,195
O,v12,255
O,v13,317
O,v14,145
O,v15,133
O,v16,343
O,v17,23
O,v18,43
O,v19,312
O,v20,18
P,v1,206
P,v2,398
P,v3,211
P,v4,182
P,v5,75
P,v6,314
P,v7,374
P,v8,321
P,v9,66
P,v10,76
P,v11,59
P,v12,174
P,v13,199
P,v14,85
P,v15,128
P,v16,367
P,v17,275
P,v18,44
P,v19,376
P,v20,57
Q,v1,219
Q,v2,347
Q,v3,260
Q,v4,386
Q,v5,124
Q,v6,278
Q,v7,338
Q,v8,218
Q,v9,141
Q,v10,99
Q,v11,198
Q,v12,16
Q,v13,331
Q,v14,5
Q,v15,108
Q,v16,171
Q,v17,298
Q,v18,224
Q,v19,353
Q,v20,372
R,v1,305
R,v2,291
R,v3,168
R,v4,7
R,v5,156
R,v6,285
R,v7,256
R,v8,80
R,v9,257
R,v10,190
R,v11,357
R,v12,333
R,v13,344
R,v14,330
R,v15,358
R,v16,148
R,v17,138
R,v18,22
R,v19,111
R,v20,78
S,v1,153
S,v2,271
S,v3,227
S,v4,228
S,v5,123
S,v6,24
S,v7,274
S,v8,208
S,v9,71
S,v10,126
S,v11,88
S,v12,74
S,v13,394
S,v14,122
S,v15,193
S,v16,11
S,v17,362
S,v18,167
S,v19,261
S,v20,400
T,v1,288
T,v2,396
T,v3,329
T,v4,332
T,v5,355
T,v6,62
T,v7,48
T,v8,27
T,v9,191
T,v10,363
T,v11,82
T,v12,147
T,v13,9
T,v14,320
T,v15,214
T,v16,26
T,v17,323
T,v18,47
T,v19,202
T,v20,93
