id,value
o,12
o.Organic,14
o.Organic.Brain_damage,16
o.Organic.Brain_disease_and_damage,18
o.Organic.Delirium,20
o.Organic.Dementia_in_Alzheimer's_disease,22
o.Organic.Organic_amnesic_syndrome,24
o.Organic.Other_dementia,26
o.Organic.Unspecified_dementia,28
o.Organic.Unspecified_organic,30
o.Organic.Vascular_dementia,32
o.Substance_use,34
o.Substance_use.Alcohol,36
o.Substance_use.Cannabinoids,38
o.Substance_use.Cocaine,40
o.Substance_use.Hallucinogens,42
o.Substance_use.Multiple_drug_use,44
o.Substance_use.Opioids,46
o.Substance_use.Sedative_or_hypnotics,48
o.Substance_use.Stimulants_and_caffeine,50
o.Substance_use.Tobacco,52
o.Substance_use.Volatile_solvents,54
o.Schizophrenia,56
o.Schizophrenia.Acute_and_transient_psychotic_disorders,58
o.Schizophrenia.Induced_delusional_disorder,60
o.Schizophrenia.Other_nonorganic_psychotic_disorders,62
o.Schizophrenia.Persistent_delusional_disorders,64
o.Schizophrenia.Schizoaffective_disorders,66
o.Schizophrenia.Schizophrenia,68
o.Schizophrenia.Schizotypal_disorder,70
o.Schizophrenia.Unspecified_nonorganic_psychosis,72
o.Mood,74
o.Mood.Bipolar_affective_disorder,76
o.Mood.Depressive_episode,78
o.Mood.Manic_episode,80
o.Mood.Other_mood_[affective]_disorders,82
o.Mood.Persistent_mood_[affective]_disorders,84
o.Mood.Recurrent_depressive_disorder,86
o.Mood.Unspecified_mood_[affective]_disorder,88
o.Neurotic,90
o.Neurotic.Dissociative_[conversion]_disorders,92
o.Neurotic.Obsessive-compulsive_disorder,94
o.Neurotic.Other_anxiety_disorders,96
o.Neurotic.Other_neurotic_disorders,98
o.Neurotic.Phobic_anxiety_disorders,100
o.Neurotic.Reaction_to_severe_stress,102
o.Neurotic.Somatoform_disorders,104
o.Behavioural,106
o.Behavioural.Eating_disorders,108
o.Behavioural.Non-dependence-producing_substances,110
o.Behavioural.Nonorganic_sleep_disorders,112
o.Behavioural.Other,114
o.Behavioural.Puerperium,116
o.Behavioural.Sexual_dysfunction,118
o.Behavioural.Unspecified,120
o.Personality,122
o.Personality.Disorders_of_sexual_preference,124
o.Personality.Gender_identity_disorders,126
o.Personality.Habit_and_impulse_disorders,128
o.Personality.Mixed_and_other_personality_disorders,130
o.Personality.Other,132
o.Personality.Personality_changes,134
o.Personality.Sexual_development_and_orientation,136
o.Personality.Specific_personality_disorders,138
o.Personality.Unspecified,140
o.Retardation,142
o.Retardation.Mild_mental_retardation,144
o.Retardation.Moderate_mental_retardation,146
o.Retardation.Other_mental_retardation,148
o.Retardation.Profound_mental_retardation,150
o.Retardation.Severe_mental_retardation,152
o.Retardation.Unspecified_mental_retardation,154
o.Psycho,156
o.Psycho.Mixed_specific_developmental_disorders,158
o.Psycho.Motor_function,160
o.Psycho.Other,162
o.Psycho.Pervasive_developmental_disorders,164
o.Psycho.Scholastic_skills,166
o.Psycho.Speech_and_language,168
o.Psycho.Unspecified,170
o.Emotional,172
o.Emotional.Conduct_disorders,174
o.Emotional.Emotional_disorders,176
o.Emotional.Hyperkinetic_disorders,178
o.Emotional.Mixed_disorders_of_conduct_and_emotions,180
o.Emotional.Other,182
o.Emotional.Social_functioning,184
o.Emotional.Tic_disorders,186
