outcome;outcome2;exposure;exposure2;model;sex;N0;personyears0;cases0;N1;personyears1;cases1;HR;CI_left;CI_right
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_time_after_expo_1;men;1823096;22846444.6112572;31481;24871;11465.5808906254;893;164.688448810951;154.026361865534;176.088591869975
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_adjusted_time_after_expo_1;men;1823096;22846444.6112572;31481;24871;11465.5808906254;893;87.1576719808302;81.4600538026666;93.2538026984379
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_adjusted_time_after_expo_2;men;1823096;22846444.6112572;31481;24177;11518.7572123662;113;11.2231207148543;9.32650678130142;13.505425078629
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_time_after_expo_2;men;1823096;22846444.6112572;31481;24177;11518.7572123662;113;21.1522292113094;17.5820024975936;25.4474312962364
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_adjusted_time_after_expo_3;men;1823096;22846444.6112572;31481;25485;23209.4836963845;161;8.17958568846477;7.00286555670589;9.55403491515975
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_time_after_expo_3;men;1823096;22846444.6112572;31481;25485;23209.4836963845;161;15.1658198247628;12.9874653348755;17.7095441663694
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_time_after_expo_4;men;1823096;22846444.6112572;31481;30827;71152.4724305713;359;11.3196788247429;10.1980142695828;12.5647136107189
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_adjusted_time_after_expo_4;men;1823096;22846444.6112572;31481;30827;71152.4724305713;359;6.27199257992666;5.64842670017889;6.96439787762658
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_adjusted_time_after_expo_5;men;1823096;22846444.6112572;31481;32399;114346.108069467;492;5.60862504793156;5.12688843896189;6.13562696024935
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_time_after_expo_5;men;1823096;22846444.6112572;31481;32399;114346.108069467;492;9.67214205068471;8.84473343757955;10.5769532240674
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_time_after_expo_6;men;1823096;22846444.6112572;31481;29809;101688.470574145;407;8.58954185601084;7.78690807404889;9.47490693283597
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_adjusted_time_after_expo_6;men;1823096;22846444.6112572;31481;29809;101688.470574145;407;5.36780568369188;4.86478251633379;5.92284192790374
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_time_after_expo_7;men;1823096;22846444.6112572;31481;35503;300034.240220077;1088;4.2048419226196;3.95753619333554;4.46760174271899
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_adjusted_time_after_expo_7;men;1823096;22846444.6112572;31481;35503;300034.240220077;1088;3.3015976906761;3.10658673039744;3.50885014875578
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_kessler_prev;men;1823096;22846444.6112572;31481;68694;633415.113093636;3513;5.88736600589563;5.67975644998179;6.10256421954266
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_basic_confounders;men;1823096;22846444.6112572;31481;68694;633415.113093636;3513;8.52388310065077;8.22847470956042;8.82989687373558
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_kessler_prev_interactions;men;1823096;22846444.6112572;31481;68694;633415.113093636;3513;5.89649555081006;5.6884030597518;6.11220045687829
